rank_date_id,rank_date,year,month,day,quarter
1,1992-12-31,1992,12,31,4
2,1993-08-08,1993,8,8,3
3,1993-09-23,1993,9,23,3
4,1993-10-22,1993,10,22,4
5,1993-11-19,1993,11,19,4
6,1993-12-23,1993,12,23,4
7,1994-02-15,1994,2,15,1
8,1994-03-15,1994,3,15,1
9,1994-04-19,1994,4,19,2
10,1994-05-17,1994,5,17,2
11,1994-06-14,1994,6,14,2
12,1994-07-21,1994,7,21,3
13,1994-09-13,1994,9,13,3
14,1994-10-25,1994,10,25,4
15,1994-11-22,1994,11,22,4
16,1994-12-20,1994,12,20,4
17,1995-02-20,1995,2,20,1
18,1995-04-19,1995,4,19,2
19,1995-05-16,1995,5,16,2
20,1995-06-13,1995,6,13,2
21,1995-07-25,1995,7,25,3
22,1995-08-22,1995,8,22,3
23,1995-09-19,1995,9,19,3
24,1995-10-17,1995,10,17,4
25,1995-11-21,1995,11,21,4
26,1995-12-19,1995,12,19,4
27,1996-01-24,1996,1,24,1
28,1996-02-21,1996,2,21,1
29,1996-04-24,1996,4,24,2
30,1996-05-22,1996,5,22,2
31,1996-07-03,1996,7,3,3
32,1996-08-28,1996,8,28,3
33,1996-09-25,1996,9,25,3
34,1996-10-23,1996,10,23,4
35,1996-11-20,1996,11,20,4
36,1996-12-18,1996,12,18,4
37,1997-02-27,1997,2,27,1
38,1997-04-09,1997,4,9,2
39,1997-05-14,1997,5,14,2
40,1997-06-18,1997,6,18,2
41,1997-07-16,1997,7,16,3
42,1997-08-20,1997,8,20,3
43,1997-09-17,1997,9,17,3
44,1997-10-17,1997,10,17,4
45,1997-11-19,1997,11,19,4
46,1997-12-23,1997,12,23,4
47,1998-02-18,1998,2,18,1
48,1998-03-18,1998,3,18,1
49,1998-04-22,1998,4,22,2
50,1998-05-20,1998,5,20,2
51,1998-07-15,1998,7,15,3
52,1998-08-19,1998,8,19,3
53,1998-09-16,1998,9,16,3
54,1998-10-21,1998,10,21,4
55,1998-11-18,1998,11,18,4
56,1998-12-23,1998,12,23,4
57,1999-01-27,1999,1,27,1
58,1999-02-24,1999,2,24,1
59,1999-03-24,1999,3,24,1
60,1999-04-21,1999,4,21,2
61,1999-05-19,1999,5,19,2
62,1999-06-16,1999,6,16,2
63,1999-07-21,1999,7,21,3
64,1999-08-18,1999,8,18,3
65,1999-09-15,1999,9,15,3
66,1999-10-13,1999,10,13,4
67,1999-11-17,1999,11,17,4
68,1999-12-22,1999,12,22,4
69,2000-01-19,2000,1,19,1
70,2000-02-16,2000,2,16,1
71,2000-03-15,2000,3,15,1
72,2000-04-12,2000,4,12,2
73,2000-05-10,2000,5,10,2
74,2000-06-07,2000,6,7,2
75,2000-07-05,2000,7,5,3
76,2000-08-09,2000,8,9,3
77,2000-09-06,2000,9,6,3
78,2000-10-11,2000,10,11,4
79,2000-11-15,2000,11,15,4
80,2000-12-20,2000,12,20,4
81,2001-01-17,2001,1,17,1
82,2001-02-14,2001,2,14,1
83,2001-03-14,2001,3,14,1
84,2001-04-11,2001,4,11,2
85,2001-05-16,2001,5,16,2
86,2001-06-20,2001,6,20,2
87,2001-07-18,2001,7,18,3
88,2001-08-22,2001,8,22,3
89,2001-09-19,2001,9,19,3
90,2001-10-17,2001,10,17,4
91,2001-11-21,2001,11,21,4
92,2001-12-19,2001,12,19,4
93,2002-01-16,2002,1,16,1
94,2002-02-13,2002,2,13,1
95,2002-03-20,2002,3,20,1
96,2002-04-17,2002,4,17,2
97,2002-05-15,2002,5,15,2
98,2002-07-03,2002,7,3,3
99,2002-08-14,2002,8,14,3
100,2002-09-18,2002,9,18,3
101,2002-10-23,2002,10,23,4
102,2002-11-20,2002,11,20,4
103,2002-12-18,2002,12,18,4
104,2003-01-15,2003,1,15,1
105,2003-02-19,2003,2,19,1
106,2003-03-26,2003,3,26,1
107,2003-04-23,2003,4,23,2
108,2003-05-21,2003,5,21,2
109,2003-06-25,2003,6,25,2
110,2003-07-30,2003,7,30,3
111,2003-08-27,2003,8,27,3
112,2003-09-24,2003,9,24,3
113,2003-10-22,2003,10,22,4
114,2003-11-19,2003,11,19,4
115,2003-12-15,2003,12,15,4
116,2004-01-14,2004,1,14,1
117,2004-02-18,2004,2,18,1
118,2004-03-17,2004,3,17,1
119,2004-04-14,2004,4,14,2
120,2004-05-12,2004,5,12,2
121,2004-06-09,2004,6,9,2
122,2004-07-07,2004,7,7,3
123,2004-08-04,2004,8,4,3
124,2004-09-01,2004,9,1,3
125,2004-10-06,2004,10,6,4
126,2004-11-10,2004,11,10,4
127,2004-12-20,2004,12,20,4
128,2005-01-19,2005,1,19,1
129,2005-02-16,2005,2,16,1
130,2005-03-23,2005,3,23,1
131,2005-04-20,2005,4,20,2
132,2005-05-18,2005,5,18,2
133,2005-06-15,2005,6,15,2
134,2005-07-20,2005,7,20,3
135,2005-08-17,2005,8,17,3
136,2005-09-12,2005,9,12,3
137,2005-10-17,2005,10,17,4
138,2005-11-21,2005,11,21,4
139,2005-12-16,2005,12,16,4
140,2006-01-18,2006,1,18,1
141,2006-02-15,2006,2,15,1
142,2006-03-15,2006,3,15,1
143,2006-04-19,2006,4,19,2
144,2006-05-17,2006,5,17,2
145,2006-07-12,2006,7,12,3
146,2006-08-16,2006,8,16,3
147,2006-09-13,2006,9,13,3
148,2006-10-18,2006,10,18,4
149,2006-11-22,2006,11,22,4
150,2006-12-18,2006,12,18,4
151,2007-01-17,2007,1,17,1
152,2007-02-14,2007,2,14,1
153,2007-03-14,2007,3,14,1
154,2007-04-18,2007,4,18,2
155,2007-05-16,2007,5,16,2
156,2007-06-13,2007,6,13,2
157,2007-07-18,2007,7,18,3
158,2007-08-22,2007,8,22,3
159,2007-09-19,2007,9,19,3
160,2007-10-24,2007,10,24,4
161,2007-11-22,2007,11,22,4
162,2007-12-17,2007,12,17,4
163,2008-01-16,2008,1,16,1
164,2008-02-13,2008,2,13,1
165,2008-03-12,2008,3,12,1
166,2008-04-09,2008,4,9,2
167,2008-05-07,2008,5,7,2
168,2008-06-04,2008,6,4,2
169,2008-07-02,2008,7,2,3
170,2008-08-06,2008,8,6,3
171,2008-09-03,2008,9,3,3
172,2008-10-08,2008,10,8,4
173,2008-11-12,2008,11,12,4
